Metric,Dec.  2020,Dec.  2019,Dec.  2018,Company,cik_str,0,1,2,Sep.  2020,Jun.  2020,Mar.  2020,Sep.  2019,Jun.  2019,Mar.  2019,Jul.  2021,Jul.  2020,Jul.  2019,Jun.  2021,Oct.  2021,Oct.  2020,Jan.  2021,Sep.  2021,Oct.  2019,Mar.  2021,Nov.  2020,Aug.  2020,Feb.  2020,Nov.  2019,Aug.  2019,May  2020,May  2019,Feb.  2019,Jan.  2020,Jun.  2018,May  2021,Nov.  2018,Apr.  2021,Apr.  2020,Apr.  2019,Jan.  2019,"Dec.  2020 
Trade_Names 
metropolitan_area 
segment","Dec.  2020 
USD ($) 
$ ","Dec.  2019 
USD ($) 
$ ","Dec.  2018 
USD ($) 
$ ",3,"Mar.  2021 
USD ($)",Sep.  2018,"Dec.  2020 
USD ($) 
mi","Sep.  2020 
USD ($)","Jun.  2020 
USD ($)","Mar.  2020 
USD ($)","Dec.  2019 
USD ($)","Sep.  2019 
USD ($)","Jun.  2019 
USD ($)","Mar.  2019 
USD ($)","Dec.  2020 
USD ($) 
segment 
mi","Dec.  2018 
USD ($)",Aug.  2021,Feb.  2021
Netsales,5084239000,5140084000,3977539000,INTERNATIONAL FLAVORS & FRAGRANCES INC (Filer) , 0000051253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,5084239000,5140084000,3977539000,INTERNATIONAL FLAVORS & FRAGRANCES INC (Filer) , 0000051253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,5084239000,5140084000,3977539000,INTERNATIONAL FLAVORS & FRAGRANCES INC (Filer) , 0000051253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,INTERNATIONAL FLAVORS & FRAGRANCES INC (Filer) , 0000051253,DeferredTaxAssetsinProcessResearchandDevelopment,30027000,15477000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,INTERNATIONAL FLAVORS & FRAGRANCES INC (Filer) , 0000051253,DeferredTaxAssetsinProcessResearchandDevelopment,30027000,15477000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,170000000,163000000,588000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,56000000,54000000,196000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,56000000,54000000,196000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,56000000,54000000,196000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,56000000,54000000,196000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortizationofpensionandpostretirementpriorservicecostsandnetloss:,56000000,54000000,196000000,INTERNATIONAL PAPER CO /NEW/ (Filer) , 0000051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,2284400000.0,2433000000.0,8031600000.0,"INTERPUBLIC GROUP OF COMPANIES, INC. (Filer) ", 0000051644,,,,1954600000.0,1853400000.0,1972100000.0,2061400000.0,2125900000.0,2004800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,2284400000.0,2433000000.0,8031600000.0,"INTERPUBLIC GROUP OF COMPANIES, INC. (Filer) ", 0000051644,,,,1954600000.0,1853400000.0,1972100000.0,2061400000.0,2125900000.0,2004800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,2284400000.0,2433000000.0,8031600000.0,"INTERPUBLIC GROUP OF COMPANIES, INC. (Filer) ", 0000051644,,,,1954600000.0,1853400000.0,1972100000.0,2061400000.0,2125900000.0,2004800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue:,,,,INTUIT INC (Filer) , 0000896878,,,,,,,,,,9633000000,7679000000,6784000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealizedgain-lossonavailable-for-saledebtsecurities,,,,INTUIT INC (Filer) , 0000896878,,,,,,,,,,-3000000,5000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealizedgain-lossonavailable-for-saledebtsecurities,,,,INTUIT INC (Filer) , 0000896878,,,,,,,,,,-3000000,5000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealizedgain-lossonavailable-for-saledebtsecurities,,,,INTUIT INC (Filer) , 0000896878,,,,,,,,,,-3000000,5000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealizedgain-lossonavailable-for-saledebtsecurities,,,,INTUIT INC (Filer) , 0000896878,,,,,,,,,,-3000000,5000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,INTUIT INC (Filer) , 0000896878,Deferredrevenue,32000000,68000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenue,4358400000.0,4478500000.0,3724200000.0,INTUITIVE SURGICAL INC (Filer) , 0001035267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenue,4358400000.0,4478500000.0,3724200000.0,INTUITIVE SURGICAL INC (Filer) , 0001035267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenue,4358400000.0,4478500000.0,3724200000.0,INTUITIVE SURGICAL INC (Filer) , 0001035267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenue,4358400000.0,4478500000.0,3724200000.0,INTUITIVE SURGICAL INC (Filer) , 0001035267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totaloperatingrevenues,6145600000.0,6117400000.0,5314100000.0,Invesco Ltd. (Filer) , 0000914208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totaloperatingexpenses,5225200000.0,5309200000.0,4109200000.0,Invesco Ltd. (Filer) , 0000914208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rentalrevenuesandotherpropertyincome,1822828000,1764685000,1722962000,Invitation Homes Inc. (Filer) , 0001687229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rentalrevenuesandotherpropertyincome,1822828000,1764685000,1722962000,Invitation Homes Inc. (Filer) , 0001687229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,11359000000,11088000000,10412000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,11359000000,11088000000,10412000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,11359000000,11088000000,10412000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researchanddevelopment,-14000000,-21000000,-20000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,3298000000.0,2895000000.0,10412000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,2786000000.0,2521000000.0,2754000000.0,2769000000.0,2740000000.0,2684000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,3298000000.0,2895000000.0,10412000000,IQVIA HOLDINGS INC. (Filer) , 0001478242,,,,2786000000.0,2521000000.0,2754000000.0,2769000000.0,2740000000.0,2684000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRevenues,4147270000,4262584000,4225761000,IRON MOUNTAIN INC (Filer) , 0001020569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestIncome,8312000,6559000,6553000,IRON MOUNTAIN INC (Filer) , 0001020569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operatingrevenues,9636573000,9165258000,8614874000,HUNT J B TRANSPORT SERVICES INC (Filer) , 0000728535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operatingrevenues,9636573000,9165258000,8614874000,HUNT J B TRANSPORT SERVICES INC (Filer) , 0000728535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,HENRY JACK & ASSOCIATES INC (Filer) , 0000779152,,,,,1697067000,,,1552691000,,,,,1758225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,HENRY JACK & ASSOCIATES INC (Filer) , 0000779152,,,,,1697067000,,,1552691000,,,,,1758225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,HENRY JACK & ASSOCIATES INC (Filer) , 0000779152,,,,,1697067000,,,1552691000,,,,,1758225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,HENRY JACK & ASSOCIATES INC (Filer) , 0000779152,,,,,1697067000,,,1552691000,,,,,1758225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,HENRY JACK & ASSOCIATES INC (Filer) , 0000779152,,,,,1697067000,,,1552691000,,,,,1758225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,,,,,,,12737868000,,,,,,,14092632000,13566975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetLossAttributabletoRedeemableNoncontrollingInterests,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,,,,,,,0,,,,,,,-85414000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetLossAttributabletoRedeemableNoncontrollingInterests,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,,,,,,,0,,,,,,,-85414000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetLossAttributabletoRedeemableNoncontrollingInterests,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,,,,,,,0,,,,,,,-85414000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,Contractrevenuesandcosts,81633000,68870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JACOBS ENGINEERING GROUP INC /DE/ (Filer) , 0000052988,Contractrevenuesandcosts,81633000,68870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salestocustomers,,82059000000,81581000000,JOHNSON & JOHNSON (Filer) , 0000200406,,,,,,,,,,,,,,,,82584000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salestocustomers,,82059000000,81581000000,JOHNSON & JOHNSON (Filer) , 0000200406,,,,,,,,,,,,,,,,82584000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,,,,Johnson Controls International plc (Filer) , 0000833444,,,,22317000000,,,23968000000,,,,,,,,,,23668000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,,,,Johnson Controls International plc (Filer) , 0000833444,,,,22317000000,,,23968000000,,,,,,,,,,23668000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,,,,Johnson Controls International plc (Filer) , 0000833444,,,,22317000000,,,23968000000,,,,,,,,,,23668000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,,,,Johnson Controls International plc (Filer) , 0000833444,,,,22317000000,,,23968000000,,,,,,,,,,23668000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Johnson Controls International plc (Filer) , 0000833444,Researchanddevelopment,42000000,112000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Johnson Controls International plc (Filer) , 0000833444,Researchanddevelopment,42000000,112000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interestincomefromsubsidiaries,63000000,223000000,216000000,JPMORGAN CHASE & CO (Filer) , 0000019617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interestincomefromsubsidiaries,63000000,223000000,216000000,JPMORGAN CHASE & CO (Filer) , 0000019617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangeonavailable-for-saledebtsecuritiesnetoftax,4400000.0,4200000.0,1500000.0,JUNIPER NETWORKS INC (Filer) , 0001043604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangeonavailable-for-saledebtsecuritiesnetoftax,4400000.0,4200000.0,1500000.0,JUNIPER NETWORKS INC (Filer) , 0001043604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangeonavailable-for-saledebtsecuritiesnetoftax,4400000.0,4200000.0,1500000.0,JUNIPER NETWORKS INC (Filer) , 0001043604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JUNIPER NETWORKS INC (Filer) , 0001043604,Deferredrevenue,43400000.0,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,,13578000000,13547000000,KELLOGG CO (Filer) , 0000055067,,,,,,,,,,,,,,,,13770000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealizedgain-lossonavailable-for-salesecuritiespre-tax,,4000000,0,KELLOGG CO (Filer) , 0000055067,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researchanddevelopmentexpense,,144000000,154000000,KELLOGG CO (Filer) , 0000055067,,,,,,,,,,,,,,,,135000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,11618000000,11120000000,7442000000,Keurig Dr Pepper Inc. (Filer) , 0001418135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,11618000000,11120000000,7442000000,Keurig Dr Pepper Inc. (Filer) , 0001418135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netsales,11618000000,11120000000,7442000000,Keurig Dr Pepper Inc. (Filer) , 0001418135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsalenetofincometaxesof-143-151and-19,452000000,488000000,-62000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsaletax,-143000000,-151000000,-19000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsaletax,-143000000,-151000000,-19000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsaletax,-143000000,-151000000,-19000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsaletax,-143000000,-151000000,-19000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netunrealizedgains-lossesonsecuritiesavailableforsaletax,-143000000,-151000000,-19000000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netinterestexpense-benefit,200000,900000,700000,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax-exemptinterestincome,-28000000.0,-30000000.0,-30000000.0,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax-exemptinterestincome,-28000000.0,-30000000.0,-30000000.0,KEYCORP /NEW/ (Filer) , 0000091576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalnetrevenue,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,4941000000,4221000000,,,4303000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalnetrevenue,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,4941000000,4221000000,,,4303000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalnetrevenue,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,4941000000,4221000000,,,4303000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.benefitonforeignsales,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,-16000000,-8000000,,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.benefitonforeignsales,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,-16000000,-8000000,,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.benefitonforeignsales,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,-16000000,-8000000,,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.benefitonforeignsales,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,-16000000,-8000000,,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.benefitonforeignsales,,,,"Keysight Technologies, Inc. (Filer) ", 0001601046,,,,,,,,,,,,,,-16000000,-8000000,,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenuesnet,269441000.0,296130000.0,1164762000,KIMCO REALTY CORP (Filer) , 0000879101,,,,259792000.0,238916000.0,289744000.0,282871000.0,284873000.0,295010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenuesnet,269441000.0,296130000.0,1164762000,KIMCO REALTY CORP (Filer) , 0000879101,,,,259792000.0,238916000.0,289744000.0,282871000.0,284873000.0,295010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenuesnet,269441000.0,296130000.0,1164762000,KIMCO REALTY CORP (Filer) , 0000879101,,,,259792000.0,238916000.0,289744000.0,282871000.0,284873000.0,295010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRevenues,11700000000.0,13209000000.0,14144000000.0,"KINDER MORGAN, INC. (Filer) ", 0001506307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRevenues,11700000000.0,13209000000.0,14144000000.0,"KINDER MORGAN, INC. (Filer) ", 0001506307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRevenues,11700000000.0,13209000000.0,14144000000.0,"KINDER MORGAN, INC. (Filer) ", 0001506307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,KLA CORP (Filer) , 0000319201,,,,,5806424000,,,4568904000,,,,,6918734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangerelatedtoavailable-for-salesecurities,,,,KLA CORP (Filer) , 0000319201,,,,,5299000,,,9750000,,,,,-3088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangerelatedtoavailable-for-salesecurities,,,,KLA CORP (Filer) , 0000319201,,,,,5299000,,,9750000,,,,,-3088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangerelatedtoavailable-for-salesecurities,,,,KLA CORP (Filer) , 0000319201,,,,,5299000,,,9750000,,,,,-3088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netchangerelatedtoavailable-for-salesecurities,,,,KLA CORP (Filer) , 0000319201,,,,,5299000,,,9750000,,,,,-3088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,1650870000.0,1509453000.0,,KLA CORP (Filer) , 0000319201,,,,1538620000.0,1459593000.0,1423964000.0,1413414000.0,4568904000.0,,,,,1925471000.0,,,,,,1803773000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interestincome,,,,KLA CORP (Filer) , 0000319201,,,,,-21646000,,,-40367000,,,,,-8929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KLA CORP (Filer) , 0000319201,Unearnedrevenue,15712000,15786000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
